firstname,lastname,person_email,company_name,company_domain,company_email,industry,employees_count,employees_bucket,founded_year,country
Crystal,Owen,crystal.owen@flowers.com,Jones and Sons,flowers.com,info@flowers.com,Repurpose,56,1–99,1999,Saint Kitts and Nevis
Cynthia,Cooper,cynthia.cooper@stephenson.com,Johnson-Gomez,stephenson.com,info@stephenson.com,Productize,1980,1000+,2006,Guernsey
Robert,Jones,robert.jones@daniel.net,"Garcia, Taylor and Thomas",daniel.net,info@daniel.net,Embrace,3176,1000+,1983,France
Jordan,Kim,jordan.kim@hernandez-luna.com,Wilson-Johnson,hernandez-luna.com,info@hernandez-luna.com,Scale,86,1–99,1988,Myanmar
Adam,Martinez,adam.martinez@li.com,"Carter, Jones and Nichols",li.com,info@li.com,Leverage,4142,1000+,2015,Qatar
Diane,Williams,diane.williams@collins.com,"Lambert, Harrell and Pena",collins.com,info@collins.com,Monetize,3073,1000+,2010,Guatemala
Amber,Edwards,amber.edwards@martinez.com,Becker-Butler,martinez.com,info@martinez.com,Redefine,2470,1000+,1984,Venezuela
Kimberly,Moore,kimberly.moore@allen.com,Thomas-Diaz,allen.com,info@allen.com,Extend,4217,1000+,1977,Brunei Darussalam
Leslie,Scott,leslie.scott@jordan.com,"Ryan, Lambert and Elliott",jordan.com,info@jordan.com,Monetize,3521,1000+,2010,Algeria
Misty,Leblanc,misty.leblanc@gardner.com,Bishop Group,gardner.com,info@gardner.com,Utilize,378,100–999,2002,Japan
Andrew,Stevens,andrew.stevens@robles.com,Thompson Inc,robles.com,info@robles.com,Expedite,4156,1000+,2011,United Arab Emirates
Tamara,Bullock,tamara.bullock@salazar.com,"Obrien, Richardson and Frye",salazar.com,info@salazar.com,Embrace,3730,1000+,1985,Heard Island and McDonald Islands
Cheryl,Hayes,cheryl.hayes@burns-fitzgerald.com,Murphy Ltd,burns-fitzgerald.com,info@burns-fitzgerald.com,Maximize,3118,1000+,2015,Western Sahara
Christine,Lopez,christine.lopez@bryant-brown.com,Collins PLC,bryant-brown.com,info@bryant-brown.com,Implement,2835,1000+,2013,Antarctica (the territory South of 60 deg S)
Rhonda,Leach,rhonda.leach@owens-harris.com,Williams-Johnson,owens-harris.com,info@owens-harris.com,Visualize,2027,1000+,2018,Togo
Ashley,Jefferson,ashley.jefferson@jones.com,Wilson Group,jones.com,info@jones.com,Synthesize,2696,1000+,1979,Croatia
Natalie,Booth,natalie.booth@allen.com,Thomas-Diaz,allen.com,info@allen.com,Extend,4217,1000+,1977,Brunei Darussalam
Hannah,Larson,hannah.larson@wells-lopez.com,"Sanchez, Maynard and Russell",wells-lopez.com,info@wells-lopez.com,Unleash,1104,1000+,2021,Montserrat
Christina,Allen,christina.allen@jordan.com,"Ryan, Lambert and Elliott",jordan.com,info@jordan.com,Monetize,3521,1000+,2010,Algeria
John,Alvarez,john.alvarez@chandler-woods.com,"Cuevas, Day and Rodriguez",chandler-woods.com,info@chandler-woods.com,Embrace,4652,1000+,1975,Nepal
Rachel,Rivas,rachel.rivas@villa-baker.com,Norris and Sons,villa-baker.com,info@villa-baker.com,Re-contextualize,4254,1000+,1975,Kenya
Kayla,Hill,kayla.hill@davis.org,"Thomas, Moore and Peters",davis.org,info@davis.org,Innovate,2173,1000+,2025,Serbia
Jennifer,Scott,jennifer.scott@molina.com,"Merritt, Ramirez and Brown",molina.com,info@molina.com,Transform,566,100–999,2022,Kazakhstan
John,Jordan,john.jordan@fields.com,"Sloan, Donovan and Rivera",fields.com,info@fields.com,Innovate,3199,1000+,1987,Russian Federation
Brian,Leonard,brian.leonard@gardner.com,Bishop Group,gardner.com,info@gardner.com,Utilize,378,100–999,2002,Japan
Adam,Fisher,adam.fisher@floyd-byrd.info,Nguyen Group,floyd-byrd.info,info@floyd-byrd.info,Engage,2175,1000+,1995,Tonga
James,Melton,james.melton@hernandez-luna.com,Wilson-Johnson,hernandez-luna.com,info@hernandez-luna.com,Scale,86,1–99,1988,Myanmar
Michael,Martin,michael.martin@williams.com,Kennedy-Lewis,williams.com,info@williams.com,Exploit,888,100–999,2022,Georgia
Daniel,Newton,daniel.newton@ruiz.com,Collins and Sons,ruiz.com,info@ruiz.com,Transform,73,1–99,2016,Yemen
James,Patterson,james.patterson@robinson-tate.org,"Gomez, Sparks and Lewis",robinson-tate.org,info@robinson-tate.org,Transition,1979,1000+,1995,Bahamas
Thomas,Fitzgerald,thomas.fitzgerald@butler.org,"Carter, Wood and Wells",butler.org,info@butler.org,Target,1159,1000+,1985,United States Virgin Islands
Cindy,Cisneros,cindy.cisneros@villanueva.com,"Foster, Schultz and Johnson",villanueva.com,info@villanueva.com,Synthesize,1075,1000+,1982,Palau
Andrew,Cobb,andrew.cobb@santana.info,Wells-Reyes,santana.info,info@santana.info,Engineer,1569,1000+,1987,American Samoa
Eric,Long,eric.long@clark-owens.com,"Johnson, Wilson and Chen",clark-owens.com,info@clark-owens.com,Incentivize,2589,1000+,1991,Guadeloupe
Kristen,Wade,kristen.wade@turner.com,"Chang, Stone and Rowe",turner.com,info@turner.com,Enhance,4881,1000+,2011,Armenia
Douglas,Flores,douglas.flores@molina.com,"Merritt, Ramirez and Brown",molina.com,info@molina.com,Transform,566,100–999,2022,Kazakhstan
Kristin,Wright,kristin.wright@bowman.com,Dougherty LLC,bowman.com,info@bowman.com,Extend,526,100–999,2012,Christmas Island
Emily,Olson,emily.olson@martinez.com,Becker-Butler,martinez.com,info@martinez.com,Redefine,2470,1000+,1984,Venezuela
Chad,Trevino,chad.trevino@salazar.com,"Obrien, Richardson and Frye",salazar.com,info@salazar.com,Embrace,3730,1000+,1985,Heard Island and McDonald Islands
Joseph,Rose,joseph.rose@fields.com,"Sloan, Donovan and Rivera",fields.com,info@fields.com,Innovate,3199,1000+,1987,Russian Federation
Alexander,Scott,alexander.scott@barrett.biz,Ramirez-Shah,barrett.biz,info@barrett.biz,Optimize,3653,1000+,2009,Cote d'Ivoire
Miranda,James,miranda.james@coleman.net,Wilson-Graham,coleman.net,info@coleman.net,Incentivize,1412,1000+,1999,Ecuador
Michael,Diaz,michael.diaz@mcintosh-walton.biz,Simpson Inc,mcintosh-walton.biz,info@mcintosh-walton.biz,Productize,1027,1000+,2007,Togo
Susan,White,susan.white@chandler-woods.com,"Cuevas, Day and Rodriguez",chandler-woods.com,info@chandler-woods.com,Embrace,4652,1000+,1975,Nepal
William,Aguilar,william.aguilar@williams.com,Kennedy-Lewis,williams.com,info@williams.com,Exploit,888,100–999,2022,Georgia
Amanda,Burke,amanda.burke@williams-tanner.info,Martinez Inc,williams-tanner.info,info@williams-tanner.info,E-enable,4380,1000+,1972,Nicaragua
